strategy,instrument,old_verdict,new_verdict,dsr,pf,win_rate,max_dd_usd,n_trades,both_halves,p_value,dsr_waiver,old_failures,new_failures,changed
orb_cl,,FAIL,FAIL,-3.882,0.924,0.468,75.14,2934,False,0.8691092207314337,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-3.882)|pf(0.924)|p(0.87)|both_halves|mean_pnl(-0.02409),False
ecb_drift_zb,,FAIL,FAIL,-3.91,0.379,0.362,10.03,47,False,0.9819017068956966,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-3.910)|pf(0.379)|p(0.98)|both_halves|mean_pnl(-0.20646),False
orb_si,,FAIL,FAIL,-3.945,0.86,0.431,8.96,552,False,0.8795304882958417,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-3.945)|pf(0.860)|p(0.88)|both_halves|mean_pnl(-0.00798),False
orb_gc,,FAIL,FAIL,-3.999,0.908,0.45,431.35,1322,False,0.8649040051059157,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-3.999)|pf(0.908)|p(0.86)|both_halves|mean_pnl(-0.21167),False
fib_retracement_es,,FAIL,FAIL,-4.037,0.938,0.472,2050.17,1573,False,0.784683297145325,False,dsr|profit_factor|max_drawdown_usd|p_value|both_halves|mean_pnl_positive,"dsr(-4.037)|pf(0.938)|max_dd($2,050)|p(0.78)|both_halves|mean_pnl(-0.58366)",False
camarilla_breakout_fxj,,FAIL,FAIL,-4.045,0.914,0.417,0.0,2328,False,0.9609982911070731,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-4.045)|pf(0.914)|p(0.96)|both_halves|mean_pnl(-0.00000),False
overnight_drift_nq,,FAIL,FAIL,-4.098,0.893,0.48,2677.24,2772,False,0.972361931613227,False,dsr|profit_factor|max_drawdown_usd|p_value|both_halves|mean_pnl_positive,"dsr(-4.098)|pf(0.893)|max_dd($2,677)|p(0.97)|both_halves|mean_pnl(-0.80543)",False
fib_retracement_rty,,FAIL,FAIL,-4.202,0.868,0.473,843.54,577,False,0.8954703861512958,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-4.202)|pf(0.868)|p(0.9)|both_halves|mean_pnl(-1.17400),False
gap_fill_nq,,FAIL,FAIL,-4.211,0.879,0.486,6535.69,1073,False,0.9037671594056738,False,dsr|profit_factor|max_drawdown_usd|p_value|both_halves|mean_pnl_positive,"dsr(-4.211)|pf(0.879)|max_dd($6,536)|p(0.9)|both_halves|mean_pnl(-4.39330)",False
tsm_ym,,FAIL,FAIL,-4.257,0.538,0.388,25262.64,67,False,0.9661035151695191,False,dsr|profit_factor|max_drawdown_usd|p_value|both_halves|mean_pnl_positive,"dsr(-4.257)|pf(0.538)|max_dd($25,263)|p(0.97)|both_halves|mean_pnl(-349.56955)",False
pivot_reaction_mbt,,FAIL,FAIL,-4.387,0.572,0.345,19850.25,174,False,0.9996793404857405,False,dsr|profit_factor|max_drawdown_usd|p_value|both_halves|mean_pnl_positive,"dsr(-4.387)|pf(0.572)|max_dd($19,850)|p(1)|both_halves|mean_pnl(-107.61207)",False
overnight_fade_nq,,FAIL,FAIL,-4.45,0.616,0.457,338.16,140,False,0.9462190015409098,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-4.450)|pf(0.616)|p(0.95)|both_halves|mean_pnl(-2.38239),False
round_number_zb,,FAIL,FAIL,-4.483,0.243,0.269,5.99,93,False,0.9999349268618477,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-4.483)|pf(0.243)|p(1)|both_halves|mean_pnl(-0.06420),False
round_number_cl,,FAIL,FAIL,-4.491,0.597,0.607,3.66,112,False,0.9798732793920727,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-4.491)|pf(0.597)|p(0.98)|both_halves|mean_pnl(-0.02786),False
fib_retracement_cl,,FAIL,FAIL,-4.51,0.917,0.458,65.72,1692,False,0.8956195821000449,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-4.510)|pf(0.917)|p(0.9)|both_halves|mean_pnl(-0.02666),False
overnight_fade_cl,,FAIL,FAIL,-4.717,0.661,0.45,6.51,169,False,0.9924893200169049,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-4.717)|pf(0.661)|p(0.99)|both_halves|mean_pnl(-0.03010),False
prior_day_breakout_fxj,,FAIL,FAIL,-4.719,0.888,0.46,0.0,2405,False,0.9925230605226851,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-4.719)|pf(0.888)|p(0.99)|both_halves|mean_pnl(-0.00000),False
overnight_fade_zb,,FAIL,FAIL,-4.721,0.378,0.45,1.6,40,False,0.9925302417301727,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-4.721)|pf(0.378)|p(0.99)|both_halves|mean_pnl(-0.03917),False
overnight_fade_zn,,FAIL,FAIL,-4.733,0.432,0.442,0.89,52,False,0.9890897848625526,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-4.733)|pf(0.432)|p(0.99)|both_halves|mean_pnl(-0.01587),False
gap_fill_si,,FAIL,FAIL,-4.738,0.769,0.461,10.46,553,False,0.9746998010061864,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-4.738)|pf(0.769)|p(0.97)|both_halves|mean_pnl(-0.01866),False
gap_fill_fxj,,FAIL,FAIL,-4.797,0.754,0.434,0.0,366,False,0.9700487811000194,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-4.797)|pf(0.754)|p(0.97)|both_halves|mean_pnl(-0.00000),False
pivot_reaction_fxj,,FAIL,FAIL,-4.886,0.773,0.481,0.0,1009,False,0.9966323954942825,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-4.886)|pf(0.773)|p(1)|both_halves|mean_pnl(-0.00000),False
gap_fill_ng,,FAIL,FAIL,-4.951,0.733,0.415,5.69,513,False,0.9805769635699096,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-4.951)|pf(0.733)|p(0.98)|both_halves|mean_pnl(-0.00899),False
prior_day_breakout_es,,FAIL,FAIL,-5.006,0.874,0.435,1101.55,2579,False,0.9966290663404895,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-5.006)|pf(0.874)|p(1)|both_halves|mean_pnl(-0.39923),False
prior_day_breakout_ym,,FAIL,FAIL,-5.052,0.865,0.436,9129.64,2351,False,0.9974329570600017,False,dsr|profit_factor|max_drawdown_usd|p_value|both_halves|mean_pnl_positive,"dsr(-5.052)|pf(0.865)|max_dd($9,130)|p(1)|both_halves|mean_pnl(-3.19657)",False
bollinger_rsi_fxb,,FAIL,FAIL,-5.061,0.916,0.363,1.92,8048,False,0.9977576099497819,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-5.061)|pf(0.916)|p(1)|both_halves|mean_pnl(-0.00008),False
overnight_drift_rty,,FAIL,FAIL,-5.193,0.754,0.448,500.48,1008,False,0.999719996391983,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-5.193)|pf(0.754)|p(1)|both_halves|mean_pnl(-0.49026),False
