strategy,symbol,params,n_trades,win_rate,total_pnl,avg_win,avg_loss,profit_factor,sharpe,dsr,max_dd
CVD_Acceleration,GC,"{""accel_std"": 2.0, ""rr_ratio"": 1.5, ""hold_bars"": 8}",3117,0.4447,44019.0,286.73,-204.15,1.125,1.0078,0.5464,26119.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.5, ""persist_bars"": 5, ""rr_ratio"": 2.0, ""hold_bars"": 5}",3404,0.4301,116419.0,455.68,-283.86,1.211,1.8488,0.5463,13948.0
CVD_VWAP,GC,"{""vwap_band"": 0.25, ""cvd_pct"": 70, ""rr_ratio"": 2.0, ""hold_bars"": 8}",2763,0.4278,118163.5,493.32,-294.08,1.254,1.5729,0.5458,14508.5
OFI_Reversal,GC,"{""ofi_pct"": 90, ""body_fraction"": 0.35, ""rr_ratio"": 2.0, ""hold_bars"": 10}",7904,0.3959,87607.0,393.41,-239.45,1.077,0.8258,0.5429,29005.0
CVD_VWAP,GC,"{""vwap_band"": 0.5, ""cvd_pct"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 12}",3474,0.4145,130001.0,506.26,-294.5,1.217,1.5137,0.5415,13825.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.5, ""persist_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 5}",4796,0.4379,146018.71,426.96,-278.41,1.195,1.8518,0.5394,20339.0
OFI_Reversal,GC,"{""ofi_pct"": 90, ""body_fraction"": 0.35, ""rr_ratio"": 2.0, ""hold_bars"": 5}",8620,0.4063,62864.0,337.51,-218.66,1.056,0.6357,0.5383,22778.0
OFI_Reversal,GC,"{""ofi_pct"": 90, ""body_fraction"": 0.2, ""rr_ratio"": 2.0, ""hold_bars"": 5}",8363,0.4062,57434.5,341.54,-222.07,1.052,0.596,0.5256,21833.0
Absorption_Reversal,GC,"{""abs_pct"": 85, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 12}",10619,0.3966,133836.5,362.34,-217.23,1.096,1.0836,0.5121,25032.5
CVD_VWAP,GC,"{""vwap_band"": 0.5, ""cvd_pct"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 8}",3633,0.417,115814.5,466.32,-278.87,1.196,1.3915,0.5119,15432.0
OFI_Continuation,GC,"{""ofi_pct"": 95, ""roll_win"": 120, ""rr_ratio"": 2.0, ""hold_bars"": 5}",2098,0.4347,38589.0,293.68,-193.29,1.168,1.4033,0.5093,12914.5
CVD_Absorption,GC,"{""cvd_pct"": 30, ""price_bias"": ""body"", ""rr_ratio"": 2.0, ""hold_bars"": 5}",5919,0.4023,73569.5,279.42,-167.25,1.124,1.2029,0.5049,47069.5
CVD_Absorption,GC,"{""cvd_pct"": 30, ""price_bias"": ""close"", ""rr_ratio"": 2.0, ""hold_bars"": 5}",5919,0.4023,73569.5,279.42,-167.25,1.124,1.2029,0.5049,47069.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 5}",7427,0.427,155092.72,378.68,-245.7,1.148,1.6016,0.5036,23439.5
CVD_Slope_Regime,GC,"{""slope_window"": 10, ""slope_thr"": 0.0, ""rr_ratio"": 2.0, ""hold_bars"": 8}",4894,0.4038,94295.0,363.54,-213.87,1.151,1.3435,0.5032,18611.5
CVD_Slope_Regime,GC,"{""slope_window"": 10, ""slope_thr"": 0.0, ""rr_ratio"": 2.0, ""hold_bars"": 15}",4726,0.3989,93854.0,393.78,-228.23,1.145,1.2792,0.5028,14305.0
Sweep_Continuation,GC,"{""min_sweeps"": 3, ""confirm_bars"": 1, ""rr_ratio"": 2.0, ""hold_bars"": 10}",809,0.4116,16761.5,291.54,-168.74,1.209,1.5002,0.5016,7347.0
Repeated_Replenishment,GC,"{""imbal_thr"": 0.2, ""persist_bars"": 3, ""cvd_negative"": true, ""rr_ratio"": 2.0, ""hold_bars"": 12}",4184,0.4163,115158.42,452.97,-275.97,1.171,1.6045,0.4996,27769.5
Repeated_Replenishment,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 5, ""cvd_negative"": true, ""rr_ratio"": 2.0, ""hold_bars"": 12}",2848,0.4203,124980.0,515.95,-298.38,1.254,2.0086,0.4991,18043.5
OFI_Continuation,GC,"{""ofi_pct"": 90, ""roll_win"": 120, ""rr_ratio"": 2.0, ""hold_bars"": 10}",2243,0.4244,53512.5,341.28,-210.21,1.197,1.5918,0.4978,17978.5
CVD_Acceleration,GC,"{""accel_std"": 1.5, ""rr_ratio"": 2.0, ""hold_bars"": 5}",4578,0.4037,75839.0,313.76,-184.61,1.15,1.276,0.4969,33561.0
CVD_Acceleration,GC,"{""accel_std"": 2.0, ""rr_ratio"": 1.5, ""hold_bars"": 5}",3165,0.4306,22989.5,263.95,-186.89,1.068,0.5627,0.496,32528.0
CVD_VWAP,GC,"{""vwap_band"": 0.25, ""cvd_pct"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 12}",2808,0.4206,102614.0,521.52,-315.49,1.2,1.3173,0.493,14999.0
OFI_Continuation,GC,"{""ofi_pct"": 93, ""roll_win"": 120, ""rr_ratio"": 2.0, ""hold_bars"": 10}",2183,0.4265,49555.5,332.84,-207.92,1.19,1.4981,0.4896,11930.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 10}",6646,0.41,155946.22,444.19,-268.93,1.148,1.5544,0.4865,21640.0
Repeated_Replenishment,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 5, ""cvd_negative"": true, ""rr_ratio"": 2.0, ""hold_bars"": 8}",2931,0.4319,129576.5,477.4,-285.17,1.273,2.1822,0.4864,16445.5
CVD_Slope_Regime,GC,"{""slope_window"": 20, ""slope_thr"": 0.0, ""rr_ratio"": 2.0, ""hold_bars"": 15}",3055,0.3957,64565.5,392.71,-222.22,1.157,1.2887,0.4853,14868.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 5}",5902,0.4292,134587.22,401.96,-262.27,1.152,1.5409,0.4831,26072.0
Repeated_Replenishment,GC,"{""imbal_thr"": 0.2, ""persist_bars"": 5, ""cvd_negative"": true, ""rr_ratio"": 2.0, ""hold_bars"": 8}",3612,0.4275,136321.0,454.62,-273.51,1.241,2.1411,0.483,18782.5
CVD_Acceleration,GC,"{""accel_std"": 2.5, ""rr_ratio"": 1.5, ""hold_bars"": 8}",2164,0.4459,37776.0,296.39,-207.04,1.152,1.1423,0.4807,23100.0
Repeated_Replenishment,GC,"{""imbal_thr"": 0.2, ""persist_bars"": 5, ""cvd_negative"": true, ""rr_ratio"": 2.0, ""hold_bars"": 12}",3500,0.4186,131009.0,488.72,-287.45,1.224,1.9932,0.4785,24047.0
CVD_VWAP,GC,"{""vwap_band"": 0.25, ""cvd_pct"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 8}",2915,0.4237,109113.5,486.47,-292.66,1.222,1.3676,0.4734,14662.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.5, ""persist_bars"": 3, ""rr_ratio"": 2.0, ""hold_bars"": 5}",4183,0.4267,150276.92,453.63,-275.0,1.228,2.0428,0.4712,13216.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.5, ""persist_bars"": 3, ""rr_ratio"": 1.5, ""hold_bars"": 5}",4309,0.4474,49532.25,366.52,-275.98,1.075,0.7243,0.471,42336.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 10}",5280,0.411,131683.22,475.72,-289.59,1.146,1.4276,0.4685,26357.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 3, ""rr_ratio"": 2.0, ""hold_bars"": 10}",4648,0.4086,155939.33,501.53,-289.73,1.196,1.7472,0.4647,17191.5
Repeated_Replenishment,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 3, ""cvd_negative"": true, ""rr_ratio"": 2.0, ""hold_bars"": 8}",3480,0.4247,132686.42,458.8,-272.44,1.243,1.9805,0.4626,14618.0
Sweep_Continuation,GC,"{""min_sweeps"": 3, ""confirm_bars"": 1, ""rr_ratio"": 2.0, ""hold_bars"": 5}",847,0.4345,16121.5,234.47,-146.48,1.23,1.4087,0.4617,5661.5
CVD_Absorption,GC,"{""cvd_pct"": 30, ""price_bias"": ""close"", ""rr_ratio"": 2.5, ""hold_bars"": 5}",5795,0.386,118280.0,318.68,-167.12,1.199,1.7868,0.4575,25210.5
CVD_Absorption,GC,"{""cvd_pct"": 30, ""price_bias"": ""body"", ""rr_ratio"": 2.5, ""hold_bars"": 5}",5795,0.386,118280.0,318.68,-167.12,1.199,1.7868,0.4575,25210.5
MultiTF_OFI,GC,"{""trend_window"": 40, ""entry_pct"": 85, ""rr_ratio"": 2.0, ""hold_bars"": 5}",9349,0.4154,144128.5,317.65,-199.38,1.132,1.4453,0.4553,30795.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.5, ""persist_bars"": 5, ""rr_ratio"": 1.5, ""hold_bars"": 10}",3239,0.4501,65727.5,428.9,-314.21,1.117,1.0034,0.4498,26696.5
Sweep_Absorption_Reversal,GC,"{""min_sweeps"": 3, ""absorption_thr"": 0.8, ""rr_ratio"": 2.0, ""hold_bars"": 8}",338,0.3817,1697.0,251.81,-147.3,1.055,0.4804,0.4484,6079.5
OFI_Continuation,GC,"{""ofi_pct"": 90, ""roll_win"": 120, ""rr_ratio"": 2.0, ""hold_bars"": 5}",2305,0.4317,37601.5,292.99,-193.84,1.148,1.1502,0.4469,14239.0
Absorption_Reversal,GC,"{""abs_pct"": 80, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 12}",11948,0.3993,133857.0,350.58,-214.4,1.087,1.0008,0.4468,26134.5
OFI_Continuation,GC,"{""ofi_pct"": 93, ""roll_win"": 120, ""rr_ratio"": 2.0, ""hold_bars"": 5}",2248,0.4355,38222.0,286.66,-191.03,1.158,1.2425,0.4458,12479.5
Repeated_Replenishment,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 3, ""cvd_negative"": true, ""rr_ratio"": 2.0, ""hold_bars"": 12}",3369,0.4144,129597.92,494.87,-284.46,1.231,1.8254,0.4431,16286.0
CVD_Microprice,GC,"{""cvd_pct"": 80, ""mp_ticks"": 1.0, ""rr_ratio"": 2.0, ""hold_bars"": 10}",5157,0.4293,183637.5,440.82,-269.23,1.232,2.3357,0.4411,24706.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.5, ""persist_bars"": 2, ""rr_ratio"": 1.5, ""hold_bars"": 5}",4941,0.4578,42445.21,349.55,-279.3,1.057,0.5905,0.4383,32498.5
CVD_VWAP,GC,"{""vwap_band"": 0.5, ""cvd_pct"": 70, ""rr_ratio"": 1.5, ""hold_bars"": 12}",3469,0.4477,44554.0,390.66,-293.39,1.079,0.6133,0.4365,19457.0
CVD_VWAP,GC,"{""vwap_band"": 0.25, ""cvd_pct"": 70, ""rr_ratio"": 1.5, ""hold_bars"": 12}",2734,0.4576,45034.0,411.5,-316.76,1.096,0.6798,0.4364,16035.0
Absorption_Reversal,GC,"{""abs_pct"": 85, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 8}",11163,0.4062,130088.5,330.63,-206.51,1.095,1.066,0.4364,26177.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.5, ""persist_bars"": 5, ""rr_ratio"": 1.5, ""hold_bars"": 5}",3521,0.451,30202.0,370.64,-288.86,1.054,0.5046,0.4344,35600.0
CVD_VWAP,GC,"{""vwap_band"": 0.25, ""cvd_pct"": 70, ""rr_ratio"": 1.5, ""hold_bars"": 8}",2813,0.4579,44781.5,388.45,-298.71,1.098,0.6762,0.4325,15928.0
CVD_Acceleration,GC,"{""accel_std"": 2.0, ""rr_ratio"": 2.0, ""hold_bars"": 5}",3128,0.3996,63885.0,330.1,-185.69,1.183,1.3774,0.4278,18712.0
MultiTF_OFI,GC,"{""trend_window"": 20, ""entry_pct"": 85, ""rr_ratio"": 2.0, ""hold_bars"": 10}",8927,0.4089,148194.5,367.02,-225.78,1.124,1.3784,0.427,25079.5
CVD_Microprice,GC,"{""cvd_pct"": 80, ""mp_ticks"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 10}",5549,0.4264,177383.5,422.94,-258.65,1.215,2.2497,0.4267,24706.5
Sweep_Continuation,GC,"{""min_sweeps"": 3, ""confirm_bars"": 1, ""rr_ratio"": 1.5, ""hold_bars"": 5}",860,0.4523,4056.0,191.22,-149.32,1.058,0.4115,0.4264,10419.5
Sweep_Absorption_Reversal,GC,"{""min_sweeps"": 3, ""absorption_thr"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 8}",342,0.3801,1590.0,251.19,-146.53,1.051,0.4468,0.4244,6358.0
OFI_Microprice,GC,"{""mp_diff_pct"": 80, ""ofi_pct"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 5}",8457,0.3996,47146.5,336.88,-214.88,1.043,0.4964,0.4204,51644.5
Absorption_Reversal,GC,"{""abs_pct"": 80, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 8}",12648,0.4108,135005.0,320.81,-205.57,1.088,0.9779,0.4171,24572.0
CVD_Slope_Regime,GC,"{""slope_window"": 20, ""slope_thr"": 0.0, ""rr_ratio"": 2.0, ""hold_bars"": 8}",3115,0.401,60842.5,361.1,-209.1,1.156,1.2981,0.4171,15843.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 3, ""rr_ratio"": 1.5, ""hold_bars"": 5}",5330,0.4478,34842.17,338.03,-262.33,1.045,0.4626,0.4154,58438.0
OFI_Continuation,GC,"{""ofi_pct"": 93, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 10}",2521,0.4113,22743.5,320.85,-208.88,1.073,0.6813,0.4106,26744.0
CVD_Acceleration,GC,"{""accel_std"": 2.5, ""rr_ratio"": 2.0, ""hold_bars"": 5}",2172,0.4065,49605.0,335.42,-191.29,1.201,1.3774,0.408,15170.0
CVD_VWAP,GC,"{""vwap_band"": 0.25, ""cvd_pct"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 12}",2891,0.4562,39248.5,407.12,-316.63,1.079,0.5625,0.4028,17593.0
CVD_Microprice,GC,"{""cvd_pct"": 80, ""mp_ticks"": 1.0, ""rr_ratio"": 1.5, ""hold_bars"": 10}",5391,0.4576,48006.0,342.36,-272.44,1.06,0.6846,0.4014,32865.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.5, ""persist_bars"": 2, ""rr_ratio"": 1.5, ""hold_bars"": 10}",4545,0.4508,43448.21,392.1,-304.47,1.057,0.5673,0.3971,34802.5
Absorption_Reversal,GC,"{""abs_pct"": 85, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 5}",12065,0.4116,127785.5,300.61,-192.29,1.094,1.0705,0.3966,41422.5
Absorption_Reversal,GC,"{""abs_pct"": 80, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 5}",13782,0.4103,142154.0,298.01,-189.87,1.092,1.0517,0.3958,34760.0
CVD_Microprice,GC,"{""cvd_pct"": 80, ""mp_ticks"": 0.5, ""rr_ratio"": 1.5, ""hold_bars"": 10}",5795,0.4544,44224.0,329.34,-260.25,1.054,0.6225,0.3911,32481.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 3, ""rr_ratio"": 2.0, ""hold_bars"": 5}",6470,0.427,165178.33,395.12,-249.94,1.178,1.7662,0.3908,18039.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 5, ""rr_ratio"": 1.5, ""hold_bars"": 10}",5052,0.4426,39927.72,376.39,-284.69,1.05,0.4922,0.3876,60606.5
Absorption_Reversal,GC,"{""abs_pct"": 90, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 12}",9080,0.4015,148976.0,366.13,-218.24,1.126,1.2921,0.3844,27705.5
CVD_VWAP,GC,"{""vwap_band"": 0.5, ""cvd_pct"": 70, ""rr_ratio"": 1.5, ""hold_bars"": 8}",3583,0.4499,33303.0,365.08,-281.69,1.06,0.4794,0.3834,17841.0
OFI_Reversal,GC,"{""ofi_pct"": 95, ""body_fraction"": 0.35, ""rr_ratio"": 2.0, ""hold_bars"": 10}",5883,0.3906,42081.5,390.0,-238.25,1.049,0.4989,0.3722,33163.5
CVD_VWAP,GC,"{""vwap_band"": 0.5, ""cvd_pct"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 12}",3619,0.4474,33899.0,385.49,-295.1,1.057,0.4475,0.3722,19286.0
