strategy,symbol,params,n_trades,win_rate,total_pnl,avg_win,avg_loss,profit_factor,sharpe,dsr,max_dd
OFI_Continuation,GC,"{""ofi_pct"": 90, ""roll_win"": 120, ""rr_ratio"": 1.5, ""hold_bars"": 5}",869,0.4695,6170.5,392.42,-333.92,1.04,0.3941,0.3931,18733.0
Sweep_Absorption_Reversal,GC,"{""min_sweeps"": 2, ""absorption_thr"": 0.8, ""rr_ratio"": 2.0, ""hold_bars"": 5}",489,0.4008,1685.5,335.57,-218.73,1.026,0.386,0.3687,10928.0
Absorption_Reversal,GC,"{""abs_pct"": 90, ""roll_win"": 30, ""rr_ratio"": 1.5, ""hold_bars"": 12}",11182,0.4499,90770.0,427.68,-335.05,1.044,0.6426,0.3668,96669.5
Repeated_Replenishment,GC,"{""imbal_thr"": 0.2, ""persist_bars"": 3, ""cvd_negative"": true, ""rr_ratio"": 1.5, ""hold_bars"": 8}",4200,0.4495,83645.5,510.62,-380.8,1.095,1.0682,0.3667,38395.0
Sweep_Continuation,GC,"{""min_sweeps"": 2, ""confirm_bars"": 1, ""rr_ratio"": 1.5, ""hold_bars"": 5}",2316,0.4508,7561.0,280.61,-224.36,1.026,0.4124,0.366,33759.5
OFI_Microprice,GC,"{""mp_diff_pct"": 80, ""ofi_pct"": 70, ""rr_ratio"": 1.5, ""hold_bars"": 10}",7151,0.4405,87717.5,582.32,-436.54,1.05,0.7109,0.363,64011.0
MultiTF_OFI,GC,"{""trend_window"": 40, ""entry_pct"": 75, ""rr_ratio"": 1.5, ""hold_bars"": 5}",12488,0.4574,141049.0,404.36,-320.05,1.065,0.9965,0.347,67341.0
OFI_Continuation,GC,"{""ofi_pct"": 93, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 5}",987,0.4357,20215.5,463.58,-321.59,1.113,1.0159,0.3168,22017.0
OFI_Microprice,GC,"{""mp_diff_pct"": 70, ""ofi_pct"": 70, ""rr_ratio"": 1.5, ""hold_bars"": 5}",9258,0.4456,120762.0,498.63,-377.18,1.062,0.986,0.3168,72781.0
MultiTF_OFI,GC,"{""trend_window"": 20, ""entry_pct"": 85, ""rr_ratio"": 1.5, ""hold_bars"": 10}",10589,0.4588,207763.5,450.0,-345.2,1.105,1.5127,0.3088,67477.0
OFI_Microprice,GC,"{""mp_diff_pct"": 60, ""ofi_pct"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 10}",12902,0.4416,72559.0,506.68,-390.56,1.026,0.426,0.2977,147442.5
Repeated_Replenishment,GC,"{""imbal_thr"": 0.2, ""persist_bars"": 3, ""cvd_negative"": true, ""rr_ratio"": 1.5, ""hold_bars"": 12}",4200,0.4476,82297.0,529.92,-393.95,1.09,0.9829,0.2852,53211.5
CVD_Absorption,GC,"{""cvd_pct"": 30, ""price_bias"": ""body"", ""rr_ratio"": 1.5, ""hold_bars"": 5}",4156,0.436,15167.0,363.33,-274.39,1.024,0.2847,0.2676,60856.0
CVD_Absorption,GC,"{""cvd_pct"": 30, ""price_bias"": ""close"", ""rr_ratio"": 1.5, ""hold_bars"": 5}",4156,0.436,15167.0,363.33,-274.39,1.024,0.2847,0.2676,60856.0
Repeated_Replenishment,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 3, ""cvd_negative"": true, ""rr_ratio"": 1.5, ""hold_bars"": 8}",3393,0.4453,81490.5,541.55,-391.5,1.111,1.1181,0.264,46049.0
OFI_Microprice,GC,"{""mp_diff_pct"": 70, ""ofi_pct"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 10}",10885,0.4385,47599.0,530.53,-406.51,1.019,0.3003,0.2452,137607.5
OFI_Reversal,GC,"{""ofi_pct"": 90, ""body_fraction"": 0.35, ""rr_ratio"": 1.5, ""hold_bars"": 5}",8467,0.4359,37705.0,454.6,-343.43,1.023,0.3259,0.2439,93396.0
OFI_Microprice,GC,"{""mp_diff_pct"": 60, ""ofi_pct"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 5}",12902,0.4437,82150.5,461.88,-356.99,1.032,0.5413,0.2433,120256.0
OFI_Microprice,GC,"{""mp_diff_pct"": 70, ""ofi_pct"": 70, ""rr_ratio"": 1.5, ""hold_bars"": 10}",9258,0.4432,134495.0,549.39,-411.19,1.063,0.9623,0.243,77414.0
OFI_Microprice,GC,"{""mp_diff_pct"": 70, ""ofi_pct"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 5}",10885,0.4409,40910.5,480.66,-372.29,1.018,0.2918,0.238,117533.5
OFI_Reversal,GC,"{""ofi_pct"": 90, ""body_fraction"": 0.2, ""rr_ratio"": 1.5, ""hold_bars"": 5}",8255,0.4359,34338.5,457.04,-345.74,1.021,0.3051,0.2374,93997.5
Absorption_Reversal,GC,"{""abs_pct"": 80, ""roll_win"": 30, ""rr_ratio"": 1.5, ""hold_bars"": 8}",19812,0.4472,130697.0,417.84,-326.1,1.037,0.692,0.22,119844.5
MultiTF_OFI,GC,"{""trend_window"": 20, ""entry_pct"": 75, ""rr_ratio"": 1.5, ""hold_bars"": 10}",13386,0.4558,214557.5,450.17,-347.66,1.085,1.2962,0.2119,71642.0
OFI_Microprice,GC,"{""mp_diff_pct"": 80, ""ofi_pct"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 10}",8358,0.4373,33708.0,568.49,-434.64,1.016,0.2341,0.2072,100216.0
Absorption_Reversal,GC,"{""abs_pct"": 80, ""roll_win"": 30, ""rr_ratio"": 1.5, ""hold_bars"": 12}",19812,0.4462,162154.0,436.13,-336.68,1.044,0.8284,0.1853,118869.0
Repeated_Replenishment,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 5, ""cvd_negative"": true, ""rr_ratio"": 1.5, ""hold_bars"": 8}",2951,0.4476,79955.5,556.09,-401.62,1.122,1.2021,0.1851,42999.0
OFI_Microprice,GC,"{""mp_diff_pct"": 80, ""ofi_pct"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 5}",8358,0.4383,23616.5,516.43,-397.89,1.013,0.1876,0.17,85278.0
OFI_Reversal,GC,"{""ofi_pct"": 90, ""body_fraction"": 0.35, ""rr_ratio"": 1.5, ""hold_bars"": 10}",8467,0.4288,24642.0,501.67,-371.57,1.014,0.1954,0.1668,102935.5
