strategy,symbol,params,n_trades,win_rate,total_pnl,avg_win,avg_loss,profit_factor,sharpe,dsr,max_dd
Absorption_Reversal,SI,"{""abs_pct"": 90, ""roll_win"": 30, ""rr_ratio"": 1.5, ""hold_bars"": 8}",5994,0.4283,87663.25,915.47,-660.16,1.039,0.457,0.3517,153525.75
OFI_Continuation,SI,"{""ofi_pct"": 93, ""roll_win"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 10}",508,0.4252,16704.0,926.1,-627.85,1.091,0.5899,0.3513,19252.5
OFI_Continuation,SI,"{""ofi_pct"": 90, ""roll_win"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 5}",509,0.4165,20198.25,899.63,-574.15,1.118,0.6768,0.3489,22341.0
CVD_Microprice,SI,"{""cvd_pct"": 80, ""mp_ticks"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 10}",1340,0.3903,103570.0,2152.98,-1251.45,1.101,0.8475,0.3307,108770.5
CVD_Slope_Regime,SI,"{""slope_window"": 5, ""slope_thr"": 0.0, ""rr_ratio"": 1.5, ""hold_bars"": 15}",2193,0.4209,36224.0,1088.08,-762.26,1.037,0.455,0.3213,55090.0
CVD_Slope_Regime,SI,"{""slope_window"": 5, ""slope_thr"": 0.0, ""rr_ratio"": 1.5, ""hold_bars"": 8}",2193,0.4191,54957.75,1062.28,-723.14,1.06,0.6895,0.321,59190.25
CVD_Microprice,SI,"{""cvd_pct"": 70, ""mp_ticks"": 0.5, ""rr_ratio"": 1.5, ""hold_bars"": 10}",2029,0.417,56668.25,1740.33,-1196.66,1.04,0.4217,0.3174,132721.25
OFI_Continuation,SI,"{""ofi_pct"": 93, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 5}",508,0.4035,14604.0,964.09,-604.07,1.08,0.436,0.3169,26641.0
Absorption_Reversal,SI,"{""abs_pct"": 90, ""roll_win"": 30, ""rr_ratio"": 1.5, ""hold_bars"": 12}",5994,0.4308,135225.75,950.93,-679.98,1.058,0.7039,0.3056,149448.5
Absorption_Reversal,SI,"{""abs_pct"": 90, ""roll_win"": 30, ""rr_ratio"": 1.5, ""hold_bars"": 5}",5994,0.4241,82362.0,852.56,-603.95,1.04,0.4305,0.3017,133621.25
MultiTF_OFI,SI,"{""trend_window"": 40, ""entry_pct"": 75, ""rr_ratio"": 1.5, ""hold_bars"": 5}",6594,0.4311,112665.75,873.61,-632.1,1.048,0.3542,0.2909,165856.0
OFI_Microprice,SI,"{""mp_diff_pct"": 80, ""ofi_pct"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 5}",4168,0.4328,168820.25,1238.05,-873.36,1.082,0.712,0.2778,89408.75
Absorption_Reversal,SI,"{""abs_pct"": 80, ""roll_win"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 12}",10992,0.4234,168561.0,949.44,-670.58,1.04,0.5349,0.2655,311421.0
Absorption_Reversal,SI,"{""abs_pct"": 80, ""roll_win"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 8}",10992,0.4227,121294.75,912.24,-648.75,1.029,0.3993,0.2636,275693.0
MultiTF_OFI,SI,"{""trend_window"": 20, ""entry_pct"": 85, ""rr_ratio"": 1.5, ""hold_bars"": 5}",5382,0.4418,108436.0,894.95,-672.35,1.054,0.4246,0.2534,244777.5
OFI_Continuation,SI,"{""ofi_pct"": 93, ""roll_win"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 5}",508,0.4232,8786.5,837.65,-584.67,1.051,0.3148,0.2494,18961.0
CVD_Slope_Regime,SI,"{""slope_window"": 20, ""slope_thr"": 0.0, ""rr_ratio"": 2.0, ""hold_bars"": 15}",805,0.3801,43417.5,1413.42,-779.74,1.112,0.9625,0.2426,34312.5
CVD_Microprice,SI,"{""cvd_pct"": 70, ""mp_ticks"": 0.5, ""rr_ratio"": 1.5, ""hold_bars"": 5}",2029,0.4229,29985.75,1529.65,-1095.18,1.023,0.2597,0.2373,115496.75
