======================================================================
 FORTRESS L2 STRATEGY BACKTEST BATTERY
 Symbols: ['GC']  Strategies: 16
======================================================================
[GC] Primary bars: 77,270 rows
[GC] 77,270 bars ready. L2 cols present: 17/17

  Sweep_Continuation                  GC  trades=1386  dsr=-0.716  pnl=$ -11,682
  Sweep_Continuation                  GC  trades=1386  dsr=+0.602  pnl=$  12,793
  Sweep_Continuation                  GC  trades=1386  dsr=+0.718  pnl=$  12,896
  Sweep_Continuation                  GC  trades=2191  dsr=-0.240  pnl=$  -5,320
  Sweep_Continuation                  GC  trades=2191  dsr=-0.432  pnl=$ -13,539
  Sweep_Continuation                  GC  trades=2191  dsr=+0.676  pnl=$  23,842
  Sweep_Continuation                  GC  trades=2191  dsr=+0.672  pnl=$  22,922
  Sweep_Continuation                  GC  trades= 407  dsr=-0.516  pnl=$  -9,756
  Sweep_Continuation                  GC  trades= 407  dsr=-0.892  pnl=$ -11,836
  Sweep_Continuation                  GC  trades= 407  dsr=-0.469  pnl=$  -4,298
  Sweep_Continuation                  GC  trades= 407  dsr=-0.833  pnl=$  -6,360
  Sweep_Absorption_Reversal           GC  trades=1051  dsr=-0.167  pnl=$  -5,076
  Sweep_Absorption_Reversal           GC  trades=1051  dsr=-0.163  pnl=$  -3,880
  Sweep_Absorption_Reversal           GC  trades=1051  dsr=-0.017  pnl=$     -20
  Sweep_Absorption_Reversal           GC  trades=1051  dsr=+0.228  pnl=$   2,332
  Sweep_Absorption_Reversal           GC  trades=1037  dsr=-0.355  pnl=$ -10,544
  Sweep_Absorption_Reversal           GC  trades=1037  dsr=-0.419  pnl=$  -9,294
  Sweep_Absorption_Reversal           GC  trades=1037  dsr=-0.675  pnl=$  -7,706
  Sweep_Absorption_Reversal           GC  trades=1037  dsr=-0.590  pnl=$  -5,302
  Sweep_Absorption_Reversal           GC  trades= 511  dsr=-0.647  pnl=$  -3,186
  Sweep_Absorption_Reversal           GC  trades= 511  dsr=+0.376  pnl=$   2,592
  Sweep_Absorption_Reversal           GC  trades= 511  dsr=-0.299  pnl=$  -1,296
  Sweep_Absorption_Reversal           GC  trades= 511  dsr=+0.615  pnl=$   4,714
  Sweep_Absorption_Reversal           GC  trades= 505  dsr=-0.657  pnl=$  -3,246
  Sweep_Absorption_Reversal           GC  trades= 505  dsr=+0.371  pnl=$   2,522
  Sweep_Absorption_Reversal           GC  trades= 505  dsr=-0.330  pnl=$  -1,454
  Sweep_Absorption_Reversal           GC  trades= 505  dsr=+0.598  pnl=$   4,546
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=-0.722  pnl=$    -978
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=-0.788  pnl=$    -662
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=-0.708  pnl=$  -1,188
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=+0.033  pnl=$      60
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=+0.312  pnl=$     502
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=-0.101  pnl=$     -48
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=-0.452  pnl=$    -256
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=+0.308  pnl=$     506
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=-0.010  pnl=$      22
  Absorption_Reversal                 GC  trades=54250  dsr=-0.233  pnl=$-277,395
  Absorption_Reversal                 GC  trades=54250  dsr=-0.281  pnl=$-218,927
  Absorption_Reversal                 GC  trades=54250  dsr=-0.281  pnl=$-196,247
  Absorption_Reversal                 GC  trades=54250  dsr=+0.198  pnl=$ 570,471
  Absorption_Reversal                 GC  trades=54250  dsr=+0.264  pnl=$ 684,968
  Absorption_Reversal                 GC  trades=54250  dsr=+0.286  pnl=$ 703,584
  Absorption_Reversal                 GC  trades=53463  dsr=-0.145  pnl=$-142,960
  Absorption_Reversal                 GC  trades=53463  dsr=-0.109  pnl=$ -63,264
  Absorption_Reversal                 GC  trades=53463  dsr=-0.059  pnl=$ -27,810
  Absorption_Reversal                 GC  trades=53463  dsr=+0.162  pnl=$ 693,464
  Absorption_Reversal                 GC  trades=53463  dsr=+0.187  pnl=$ 832,152
  Absorption_Reversal                 GC  trades=53463  dsr=+0.196  pnl=$ 888,134
  Absorption_Reversal                 GC  trades=46581  dsr=-0.192  pnl=$-211,498
  Absorption_Reversal                 GC  trades=46581  dsr=-0.221  pnl=$-159,845
  Absorption_Reversal                 GC  trades=46581  dsr=-0.222  pnl=$-156,036
  Absorption_Reversal                 GC  trades=46581  dsr=+0.174  pnl=$ 520,550
  Absorption_Reversal                 GC  trades=46581  dsr=+0.234  pnl=$ 623,564
  Absorption_Reversal                 GC  trades=46581  dsr=+0.242  pnl=$ 627,062
  Absorption_Reversal                 GC  trades=40277  dsr=-0.181  pnl=$ -75,241
  Absorption_Reversal                 GC  trades=40277  dsr=+0.062  pnl=$  20,858
  Absorption_Reversal                 GC  trades=40277  dsr=+0.082  pnl=$  27,840
  Absorption_Reversal                 GC  trades=40277  dsr=+0.264  pnl=$ 577,904
  Absorption_Reversal                 GC  trades=40277  dsr=+0.303  pnl=$ 730,916
  Absorption_Reversal                 GC  trades=40277  dsr=+0.301  pnl=$ 746,590
  Absorption_Reversal                 GC  trades=28555  dsr=-0.204  pnl=$-107,472
  Absorption_Reversal                 GC  trades=28555  dsr=-0.173  pnl=$ -55,816
  Absorption_Reversal                 GC  trades=28555  dsr=-0.247  pnl=$ -98,293
  Absorption_Reversal                 GC  trades=28555  dsr=+0.205  pnl=$ 349,566
  Absorption_Reversal                 GC  trades=28555  dsr=+0.247  pnl=$ 446,170
  Absorption_Reversal                 GC  trades=28555  dsr=+0.268  pnl=$ 388,882
  Absorption_Reversal                 GC  trades=26632  dsr=+0.113  pnl=$  24,030
  Absorption_Reversal                 GC  trades=26632  dsr=+0.322  pnl=$  88,980
  Absorption_Reversal                 GC  trades=26632  dsr=+0.265  pnl=$  75,722
  Absorption_Reversal                 GC  trades=26632  dsr=+0.317  pnl=$ 478,750
  Absorption_Reversal                 GC  trades=26632  dsr=+0.319  pnl=$ 583,333
  Absorption_Reversal                 GC  trades=26632  dsr=+0.273  pnl=$ 572,070
  CVD_Absorption                      GC  trades=7169  dsr=-0.211  pnl=$ -21,766
  CVD_Absorption                      GC  trades=7169  dsr=-0.201  pnl=$ -22,420
  CVD_Absorption                      GC  trades=7169  dsr=+0.339  pnl=$  69,934
  CVD_Absorption                      GC  trades=7169  dsr=+0.372  pnl=$  80,180
  CVD_Absorption                      GC  trades=7169  dsr=+0.334  pnl=$ 134,785
  CVD_Absorption                      GC  trades=7169  dsr=+0.404  pnl=$ 166,968
  CVD_Absorption                      GC  trades=7169  dsr=-0.211  pnl=$ -21,766
  CVD_Absorption                      GC  trades=7169  dsr=-0.201  pnl=$ -22,420
  CVD_Absorption                      GC  trades=7169  dsr=+0.339  pnl=$  69,934
  CVD_Absorption                      GC  trades=7169  dsr=+0.372  pnl=$  80,180
  CVD_Absorption                      GC  trades=7169  dsr=+0.334  pnl=$ 134,785
  CVD_Absorption                      GC  trades=7169  dsr=+0.404  pnl=$ 166,968
  CVD_Absorption                      GC  trades=10244  dsr=-0.205  pnl=$ -73,304
  CVD_Absorption                      GC  trades=10244  dsr=-0.320  pnl=$ -52,965
  CVD_Absorption                      GC  trades=10244  dsr=+0.167  pnl=$  29,018
  CVD_Absorption                      GC  trades=10244  dsr=+0.408  pnl=$  79,136
  CVD_Absorption                      GC  trades=10244  dsr=+0.249  pnl=$ 108,804
  CVD_Absorption                      GC  trades=10244  dsr=+0.315  pnl=$ 181,701
  CVD_Absorption                      GC  trades=10244  dsr=-0.205  pnl=$ -73,304
  CVD_Absorption                      GC  trades=10244  dsr=-0.320  pnl=$ -52,965
  CVD_Absorption                      GC  trades=10244  dsr=+0.167  pnl=$  29,018
  CVD_Absorption                      GC  trades=10244  dsr=+0.408  pnl=$  79,136
  CVD_Absorption                      GC  trades=10244  dsr=+0.249  pnl=$ 108,804
  CVD_Absorption                      GC  trades=10244  dsr=+0.315  pnl=$ 181,701
  Repeated_Replenishment              GC  trades=10008  dsr=+0.211  pnl=$  35,121
  Repeated_Replenishment              GC  trades=10008  dsr=+0.211  pnl=$  39,134
  Repeated_Replenishment              GC  trades=10008  dsr=+0.393  pnl=$ 264,693
  Repeated_Replenishment              GC  trades=10008  dsr=+0.356  pnl=$ 275,007
  Repeated_Replenishment              GC  trades=8498  dsr=+0.290  pnl=$  56,361
  Repeated_Replenishment              GC  trades=8498  dsr=+0.273  pnl=$  59,507
  Repeated_Replenishment              GC  trades=8498  dsr=+0.382  pnl=$ 267,618
  Repeated_Replenishment              GC  trades=8498  dsr=+0.358  pnl=$ 283,159
  Repeated_Replenishment              GC  trades=8072  dsr=+0.225  pnl=$  37,951
  Repeated_Replenishment              GC  trades=8072  dsr=+0.244  pnl=$  49,353
  Repeated_Replenishment              GC  trades=8072  dsr=+0.377  pnl=$ 229,107
  Repeated_Replenishment              GC  trades=8072  dsr=+0.344  pnl=$ 248,335
  Repeated_Replenishment              GC  trades=6875  dsr=+0.284  pnl=$  50,314
  Repeated_Replenishment              GC  trades=6875  dsr=+0.271  pnl=$  56,233
  Repeated_Replenishment              GC  trades=6875  dsr=+0.381  pnl=$ 224,623
  Repeated_Replenishment              GC  trades=6875  dsr=+0.346  pnl=$ 239,147
  Repeated_Replenishment              GC  trades=6340  dsr=+0.257  pnl=$  37,091
  Repeated_Replenishment              GC  trades=6340  dsr=+0.253  pnl=$  43,841
  Repeated_Replenishment              GC  trades=6340  dsr=+0.377  pnl=$ 198,170
  Repeated_Replenishment              GC  trades=6340  dsr=+0.353  pnl=$ 210,600
  Repeated_Replenishment              GC  trades=5307  dsr=+0.309  pnl=$  47,175
  Repeated_Replenishment              GC  trades=5307  dsr=+0.287  pnl=$  52,395
  Repeated_Replenishment              GC  trades=5307  dsr=+0.384  pnl=$ 195,392
  Repeated_Replenishment              GC  trades=5307  dsr=+0.356  pnl=$ 208,253
  CVD_Microprice                      GC  trades=27217  dsr=+0.085  pnl=$  20,520
  CVD_Microprice                      GC  trades=27217  dsr=+0.218  pnl=$  95,139
  CVD_Microprice                      GC  trades=27217  dsr=+0.124  pnl=$ 577,828
  CVD_Microprice                      GC  trades=27217  dsr=+0.153  pnl=$ 755,170
  CVD_Microprice                      GC  trades=25307  dsr=+0.195  pnl=$  53,800
  CVD_Microprice                      GC  trades=25307  dsr=+0.216  pnl=$ 127,934
  CVD_Microprice                      GC  trades=25307  dsr=+0.127  pnl=$ 597,962
